addr,tot
SMsmg3MBGYDqCYhjS3vAbWWFRo4Mozvjjy,5.99985333
Sk7dpF633R1epBqCy6THvMG7fMPp9Me6pb,5.99974167
SgpCpY9NGPfsbSJpcGd5Fj92whcPC3mqRx,5.99974
SjLv66LUvhWNjj8bpa7D3mHirrjtHRshvn,5.99961333
SVANzaG2MbSg8wzrK7AbvmynXheib6HWHt,5.99959667
SSxzsBmdFiDsfwYcXudr2rCtPLTM9aAdVq,5.99952
Siu7oskWEb4DqdRvRgPJRyLXTvDQKrHnpC,5.99945167
SQNjqrzE6gwq2XRsSYzHSePv9Y7CW3Vz7C,5.99944333
SaEbUQktTf675cK6mHQovQeJM64CFBpHPu,5.99943833
SRs91LcF5KJsEZykJxAydtjN7dKEtCwmy6,5.99943167
SXvK9FzSXn1jVGt8SmqqVv3YTFCUt65BFw,5.99941833
SWa7n8xxcU95BpLToGtXMAJZW12g1BDrB7,5.99931167
SifsMqEG6X7RAsQuEs2gY1aPioLX6okLK9,5.99930333
Sk9fZFE6z6dDEDVq7xnjXo7dFCczPWz4US,5.99930333
ScsMi9cf7C5K7Q68C9u5M7Txxo1MzwGs5H,5.99914833
SfsEqh3Bpj3o7QCkX43CCZ8yofGbjFpEFL,5.998815
Saugq6qYHYcYjCUHnCNFUhbRFyAqSY1Wr2,5.99844833
Sa83RwdAaZNx7ga2poyY44etzTCBqfDX9V,5.99843
SP8jzFVz2fisP7r4z7pcg86khzQAaabcqM,5.99842167
SfmMdNCS8JAZBxoqAV4ws2tD1G9WEG8VdY,5.99839833
SQyY5hFom2df6Uf36Q4GxaZgCWMFZUc5pm,5.99837
SeLLG3fAgGmj2rKxGqHa8VDX4kxLJtVgki,5.99829167
SaoozS86oUP822YSY6iGfJKmxoqX4i26dv,5.99826333
SaVxCFv4JiPhg7BeYLxPXmwMRaWngRABbv,5.99824167
SMYnQ18NvT9r5GsyWeTz5TmqNykUZt6gRE,5.99824
Scd4uACdvNnBn8m4mHDQecb5HQQyLrW5XJ,5.99822833
SUzPcmMGD9DWzYxXLmvJjr31HLSRT4YMhh,5.99819833
SYSkqFrujnLL6LdWV5zrWJTpsiPQJWkdGC,5.998095
SWoSQ8W348EdTZNRU3mJ4a2qqYujLE634j,5.99809333
Sej49Vj5R9g4tA2wMvUNFrYEUTDCH6gBcA,5.99804167
SfunjRXWp8nz4Pkpag4TuuMU3aLH2BCWt7,5.99804
Sifqeuru49aEB7QA2fecEHoC8m8C4jioKx,5.99803167
SbTft2tmtsUAcu8xSVTAGxez9nXFd8eCdF,5.99801333
SXkzY2K3si65veBWd4i6FS1CJekuWM9NYP,5.99801167
SSsDx9NX3u17pz9XGtqL9vhCaPjGVC5HoB,5.99800167
Sgr1tC8aGzRRkTpvCQzs9NWT3HPM9btBzF,5.99798833
SaPv6JkyVk3CT9sN7kyR52dry2CKkHD3gq,5.997985
Sf3sANYs4iNgTs9xXR1ULjnCipEn2YL3c2,5.99797833
SXH6uR7wKRENAjMZMhMY37kAUBZqoLaxfd,5.99795167
SVjPp5oPvHPVjcwQF5g6fBAzAPaYsQhwHW,5.99794833
Sj487JxFBf4gCayKP6quesX6VxSJ9MHHBM,5.997925
Sen7kQkXacxogQQc7QTvFiZU1Mb1Em9y4p,5.99792333
