addr,tot
SQTstaCXN3vNjSCjJbVA9Z7ecrsYcTjYKn,3692809.7063833
SeMQjNgjaHzw4eebBCwzP5FBZNma8sGrEz,450586.69255132
SdbyXf2f1xCy5zPQVgELigaZgMusvmJNuE,432870.87949961
Sgmo2Q7CNCL8FyizoJ8wyCJkumDKNqsxtZ,288445.16711691
SQ1NHaacKvSwdRqkr8YwR7hWGAoSj1FAV6,272567.79006446
SVAhrCi5axA6HLX5oJGVFMg4iRkrjaM7sN,177638.16139307
SegEX88QcgP7DK4qUFLnMrKMqteNv4yqS3,136486.86713232
STAMATYyXDQfUDRfLYrUpYUz4MXzFZrw44,134441.92372678
SPREADERvKc1xxmghRjDgTiU1Vdd8Pjx1m,125505.14178817
SdmKaRDcRp6aVuoeqYfZzKc8pAcX5DH9Bm,112999.2
SamMB1mvFbV9359kz5R8Xe4MmfLiY5XvGe,112579.26353687
SXKrxAEDu7Q5za6qnwPD33yPQVrqDyX3Mw,102947.0
SSD53KPJwSeazrV2YPY6EXzn4TD4WJdUr4,100445.0
SW4GKsUZK2h8C1fGHPqoVFGW56AYMfwzE8,100432.0
Sf8P2fgsGVu123V7e8KfjeywB1dYHzkRF3,100372.0
SMwV5cM8p98NdWrv2KnjE6SsBPhb7in7jT,100331.0
SdQG5bLthc7DM5dNSXnhE3245G4ydPM4bC,100314.0
SYQQVVEBRvX1mG6HmRtPBQG2wnBwGXcbYE,100250.0
ScGmwBtysERr21Jd6VJxuhG2ZSAiEepFdz,100140.0
ScZYpvBQYBU4nd8ui3G7g3fybxcWgtTCeu,100134.0
STwc9SWYkKi7p3mnh5j8eawevSJF47ZCY9,90724.77275858
SMLbivkkQCi6ExH9o7ZEwhuUiAjdRQMrmC,67778.23688083
SY7t4wyuKHV8wf5rpNDMCUde4kUVexBSeY,64873.45347510
ShGoCH7WbgtiXXkh6uk8aRSpeRMNAaFpBy,64060.75347198
SSRb2Y3RvRtypuezwiBv3ENPm3VVwR4KBw,62838.95745936
SWTzmtsoJ9kYGz8GFHnvyfRo8NNGxSvJGc,57017.35820743
ShWnLy37dqA2oxTUGYvojdLvLhmWCZKsT8,50886.66344541
STGY7dkHN237yeDZoyfJ6oXbjkFxkcRQsU,50000.0
Sc2hEDo3Fkj14RmJJg4oYfxC6VvPvYjcRK,45524.03947347
SQrgnkJmgxM3yTyghhcHMaCHL2DM5J6FT8,40004.48
SVsUNu13XTh5eHpoLFgFjSkEbzd9UVcLrD,39800.0
SacKKpiHx56zRWyoEQb6VrsR82g67896dN,39558.35220665
Sa6TCTCHwfxknWy7CKAtdhJ3Psc5K6VE3U,38023.31698410
Sh4HGiEgLCeP1SbDe9T1FPMz7rUYEMV9Rd,34999.79
SQETXPY8pZBN43jjsNFCdmVKmDmfYapckd,30026.31248581
STJg1icEY5EtH6iMmfG4afojkhaqGmCzhA,29148.40701947
SQ6bGKHqFAMAJYxxJGGH1UX2bE2uFJoZCV,28102.19512665
SbWsX5uGS3XpiT4netCT3HsXsZaxPbReoy,27075.89658546
SU3tAdvXWsX5fnZ2uCTdiQH37EcBScUwgh,25329.44186839
SSs7P3qabxWZWLAJPqsP7X6grNP6CzdWx1,24999.8
SPEdWyPnrnEcpW2PRKzuoJc9iUKqbNKFSp,23999.4
Sds5Svz2v8aiAD2np7T7uM7FnHPi78cHWa,22093.4
SYAGnRK7fP6ibFHigTtM1tLaeVUAJy7RZf,21350.90025417
SPpa4AT6ESKravJ9RdhrPT8rHJ8Xd61wqS,21177.75258268
Sg7SzyE3oHC2J3LGaWVZgknxXoiox3pNcU,20025.37818074
SZnJXTubuyF6CrQQuaqiumAVvxqXhxGeT9,19231.33025681
Sacj8jmJ7hQXX7pf3B62tYzmqNMsu3zsWG,18004.4
SUEfYGkyvormnzv9DTQvS9apP8nP3yJtF6,17663.52868816
SdwzydPixDcn9y95LZusi44FFmQNZ4AwrD,17115.0
Sfrodef4Xks5aLRbAReyEXB1XWkDdYSNNd,16001.71804738
SPrdeF1KU5CreLH2TYdnhNmZMAmoBbEynY,16000.8
SZAbnqgVcfyr2UQMj7gnpDBHtLXbKvMmva,15678.8
SMYEacZMDsAMNs1RKDNV3SpxFC5uNrgAkn,15328.20784045
SeYrnpyh3L2NHyzz7XDcvepXPK763sHFwU,14999.6
SNtgyE8YMQ7unPZdVBF6BTegzUTDmj3H3k,14743.4
ShwQq7J7vEEVEhUUdmSwuDsa966G2x6mTY,13943.27484681
SdYZn96gyUUFWqZEewYTZYTYsd4YesWPRj,13685.38787911
SNn2TrcSMDr6wSNJZQfVBEfc1cWehkUQCt,11741.00208039
SYajZHnPyg7AenPzVqN3BnB4UrnNTfWxZo,11699.09714871
SXLD6325yLuehsmp3gXL466P88FZcfdqgs,11425.60386891
SRgajXkftN3LGPmmu7xowcoaMefvwPhMrc,11150.48905854
SSn5evvraNQKV6VekBMBUD7cC4zzS2iLTj,11000.0
SWwH6QkaceRuTM6hcfx53PuqU9Qhkk3aKQ,10686.66906428
SMjM8ULvGDDyr45WJjr8gSpJFeER6xpasd,10611.40564951
SdwSpVgKm4A7Nyg7JEWRmc4ga2GF2Y4N8z,10319.01681482
SX1hXM3HCofxofpujdfSM9pr3q5KJcTtU6,10244.77817
SMkbwmjr2zvtbcBLMZqdW6ajzn3xYsHq3n,10225.0041449
SPwYrW2R47pLpkWJXdeSoWG2vYTZ5atXxx,10195.6
SRvKGYEWpxPVLzgfLNvA4K7GiVE1sCz2hB,10129.6
SaCkzQZbEJe9fFy8AFQxPmAH9BaGyEvAD3,10093.50558972
SMcayWTTaxMSgk85ZMoKZF8ECAvku3K3Gt,10074.06135351
SXo18iJS7kU1T9Sjbwwcda7nfLB3SoUH7n,10009.8
SeTVUH7hMcnvsvq5Ehx5YSRZsXUkTBjApK,10004.49346293
SbLG98vroUYKprbu33m5Hvn8ZrMKpJNeLJ,9972.65817445
SYUngUvNSi2SJcNGVT1ynaxDyRMX5gf681,9366.77023081
Sd3wyX4bkCpUEG21kQN2fVz2zQAqchHMLP,9210.00000001
SXSNp3vQtANwwwdQcZ8CuBkM15dboDJQMa,9160.6481955
SNzkKRtLXHkoWzEa8kkq6aYxSSpQRwshJc,9017.8
Shyr98NDQ7moFDjyg7yCh7Cw5oDRdbEYhf,8312.3
SRover7hXqKmdvxFRqFoM5o8R4yZ4TUHpt,8005.6
Sb6SSr9L6VLxmGfCrvvDd6ySewwP1vfwPZ,7455.54792782
SZGZNhyTd6GN89b5PFQ4fdQTypMehicrnn,6488.08652346
ScG4CKMpWRiEZN1Akqo95aPkka1uSMZiXy,6300.11499333
STdoocWjbm518RiYeveMeHY6YsaoTbJfcw,6099.85651156
STMXykU8T2qNhFSu3Nte7qCMF8iKdJ2TC7,6069.74578099
SZaEGTuuxCKNz1Dde9ervUqh89ekuUf8Fc,5951.68686668
SagSEzSEHpR4hfhSg3ve6oQDSmNpv1EPvG,5921.93877335
Sez2aCPiDMPX5hVLenb3USdrunU58MS4bD,5531.12183364
SWHRB3TeewN7Be8V8DPmbN4XdPp3HKMbWm,5265.82313745
SXqGxgrP9cmedEtWAUrMKfGiNvSJXbyJ46,5233.31301385
Sf2ULBBpZgBFbmmdfKZAtX9nmNMhvHGMmT,5032.57063818
SSE1iKxtRtjqzUQQcPaCpq1W14qK3A2ZYB,5009.8
SQtakqnKGKUZLK5UhRqETkWAZp6P4nZ7UG,5000.6
SSCLTmynxDhixidmP7CiSRzMb9q2pG8QjJ,5000.6
ShW1G8ibhr2jnhspQShyobVdepbHk4rXkJ,5000.54797167
SWYn6XNPZ3tW1nr5ynYyaYymQdWR6kcgwu,5000.0
SbyqH8Re8RrtPc3kkkfYGHXumSt43jeHeo,4990.0
Sd5ys634QiuCyjBZPYmwzbH71Pzd3W18Dd,4817.95569025
SPyX5T3idxwEB29hDwJ1CDsr1KrPY18ec5,4808.74692760
SaPSsVumeP1a4FCrF9m63HJ1SNi1mc7jxb,4682.05385999
SVDi85iCqoSiXBNMv289C1519WPJ1pBdJD,4642.64456676
SaVMUZzBXMLEmQNsm2ts3J2PWcWzCECk4K,4531.91365658
SVF6k5dPmhVjtUh696Hs9y5Ge5dkuwzPfF,4351.0
SfiD9BWkgfsfUYeYKzGpVCqdzmxYp9EsS1,4345.69308539
SZAz7MbDud43epg4Ggdy11jk6YRu3PTFtg,4001.24868402
SjY8Zg1YHEEH9n5cNp92EXogMErBeZJv2m,4000.0
Sd9Rs4GjDcdEAwKaY2dTauDQYytZdzo2FN,3862.8
SNnpRMuoJF8b6oEGhj1HL4aZoVXeUoAxNz,3802.97358694
SWwB33beCahRmPLmsPSrXV2hhWK1JsrLPY,3665.36421297
SZnFdYwjeoVy3aggs1sTZz7Aryw9vRMWzc,3662.0
SMdunBqDm8Js8svTAYk6xaPSTjjYich8f6,3631.31346397
SiGZbpP2s3whtH5B1iH3UTEg5hWWn1BWPQ,3117.43013862
SRbRHDemckVCuuoEZE4rDzHiLKwftv6Lpg,3103.70625448
SY3V5G7s9RsWAcLYfAVED89CNCW8rQMLsG,3077.02345837
SSdXG12HBfc3JuvV7GruUeW1agseyMFUVo,3052.81005253
SPZmZHyBdtdWng536NjEoGB5pBLNEmrXU4,3019.37555065
Si3SyfKxMnsWHg7UsqBPfEB6SxQDVu7JbS,3015.12075914
SVDzaxvW2sZGEn1xk4kv5SB2i6cSmM6yQE,3009.8
SiKyZkmf9sNhZav74NRGqChp6N5knzsRT3,3002.73935038
SZjHMWg1pza1Cbx6jJFnaTEKm7aRnRPaS2,3001.24830247
SVYAmue9mTXnxtFbLfnS7zcHK9uMqjb7sY,3001.08783944
Sf4iFeN3tP281DxpA9wjUjdwrfskE5aozc,2999.78829834
SgT3K6Y9xNrNgRoGba4ShDH9vuCQr6DtyE,2987.6765331
Sb4UuVYiHUBuynrE1EPuEzrR6rCwvFywrJ,2955.67557017
SbmSpg4jVPYVRsgM3eniBAvwsGvYZE2mCV,2791.76164985
SZLNV3y2hTY89YJsmvcw8NTV5pQkwfq2T9,2619.09910964
SiSrqUFBhUr5mM7yGd8eSatpBz769aa9Lr,2548.81527718
SiV7LwsL6bg38esegaL5Xf9c9e7QddrJ6q,2447.22789499
SbTGkq2Bo1YMmg36LKMZP3wSFjg7rySttw,2360.24722758
Se1RVPubcHzeQFgNGTKKod4ZADxJJYzpGD,2275.61738795
ShAbDdueCdVuG3huNG9U2m7XFUqY4Hz9sS,2224.22311861
SUxMBVrDG27d2HX9L5hhougeSjEJ8XP25y,2141.73686923
Scv2fFnwo39Zotmpfkwxx6YANL3n8oQ1hb,2105.50769806
SbBXzX1VQU89G68DV49Z1yiG4sZwoUSu23,2078.93901333
SkGEigwuZtjANL7UFvud3piUNfFwXMDjuJ,2020.19107883
SPU23JbsL5SrRhoJYZocw3QLP7DSTurmbY,2015.8
STUe9Xp47YqpweoRchvT86YS9WkPpsXXU1,2009.11028099
Sk78GPMQn4gBavQv6iXn9dPRYao81rCtqF,2005.93090099
