addr,tot
ScQb6Z6qndMJkC7xnPt9qeMd4xq8ZU4cuV,0.9999488
SbWsta61RG6uSWRuW6sZ5mmVy9H9CJUSn4,0.98249832
Siigy93dHNbtvqybAzEMfm6brDC6WQFKV9,0.98095496
Sb11vhNXqApTsmTY1asdZVbFPmB9pYiBBy,0.97372669
SV2aWnFKV9LouK6rwUPxPo7aCwrAq1pX2Y,0.96593668
SfRGmAAVhcmpFSNY2BiGsAjBwSwg3t3DUn,0.96210359
She87hieL18yQXrcCkVu5KWkNYhF9xhvee,0.95659502
SYW343t7r61raZkUuCjjtnmuKrPx9S77zY,0.95630833
SkThdhdudPYJs1h5DQpf7m3RGhEESkAPFd,0.955115
SYM3qTwPiFrgzYytikVqeboTAoHAfRfoAb,0.95431667
Sep9dKn7PMvLggsuuiDom5HJ2MY4PNvN1R,0.95385499
SNUiNfjxwTjY954oZeFbJHPqZay17ynvr9,0.952755
SQt3ktA7h2XMWxUGHqV1knWpLVhaUhHRaM,0.94917501
Sba8GypELwQizCdRdSzotYbMD2c8wmsdHb,0.944745
Si3TytakmMwSe1zMg9cHLZzWppZhQXzNUN,0.93882497
SbnYLfqYFJ8wfQ6oPBgn5XEUbhTt4nKi3d,0.93478666
Scgx2Nm1LVaXHHeF9hoyphSJYXEoMLMZcg,0.93447325
SX2nJFZ4R5Bj3twaWZGcVTU14b7mYGMKEC,0.93151831
SUiv2DgS9BQhUDFkEuN3BjKM2NCSyo5dm4,0.93075162
Se3NTa8VAfMn6p8XSnUUsKrcZBZ4W9BseF,0.93
SgRvUJsqAeGdWypfzX1hULYRWrbAzZWobv,0.928725
SgNkViQhGhPHHajHwMaPnGv6a42sfszBgR,0.92652835
STgzsETARw9wpXuEUWJCX8CtYJcQa4gBMo,0.92590667
SXbb1d5pELEksWA4VPfr64qVtCNwpm3zFn,0.91532832
Sf2sz9V7kuxYsN177b7mpXRjWr8kExfq3i,0.90564334
SZejzZStd3kSeJUgw5P1L8uNJ4CL8ufN1E,0.899
SP9norxyNs85xRR5SCmg2J8CAhKdwnFdBZ,0.89553823
STwSYKKYj1ahuwB9zMRyeQYo4kVdbhWGAc,0.8931484
SdiNpvW3f6uu1xnsvQJ896Vrtc4yKhkxhZ,0.87675513
SPaKnaW4kHueW2DkENrAQLrtoP9HoJUFCQ,0.87480836
SUhxdkGd6WdXB6cwkfuSjPyTSAJyfX8zsW,0.86614001
SjA3ZpCevLuc6absui78Ax2dQmsefD8iB8,0.860585
SbXbz1DFh1ToVYfHEcMCXh2grkadssTDwN,0.859
Sg59cunGoWTVxFY2CNA4KrszbwyhNPrA1b,0.859
SUZ1R4QCUVMntvmP5fHg6x5n1iKHvZ5sXf,0.85792667
SSVesdReCDQgNmdscEni1g5Xx3C5Y6NrWp,0.85184
SUC56Ra7hHyndkt1ymUd82k22hF6PZbBdR,0.84747338
ShtreKiY8Q3QCopYVAes4L5Y9FV5dhiQP9,0.83
SkcpgKHP8X7Dcph4Vf26hJCDnbA5jTseeR,0.82641913
SexvwSW4Xwnvot6P5nLH6UpRBEyGLJa7Gm,0.82517167
SXn94TFac3FiEApc7tK6znMREd8Rkzq8ft,0.8213
SgFLgkAKNCovYkXJyX3aaYPCfSTrv4RjiR,0.81544833
SQ5NsY1TLr5NMkFKmeVGcSPNHiSEZSPNjN,0.81375006
SSA35UogwFXca7jRXvRuRM2bf8XUU8j8qE,0.8130867
SRBFEDy62VPwrrtM8RypNZX87rQVx1CxM2,0.81237334
SNaYpMbqjeMk4NosfZPbp2CroKarRwk38p,0.80603
STNciCaR9fxkivHUfRbZhrcGREv2jydyPs,0.80572161
SaoYwJnDxr7XeJ9yXF4qVCYs3uDRpx5LHC,0.8
ScsSWnzan7zgpHziTwHoP6NTnpQ7xa5P8h,0.8
SeqBpxZbu6cnTHaJSJqcdWeCBJ4p8sW3rg,0.8
SfynRPrtkyGW6by2ej1Q5iLAWwebemShHf,0.8
SNyhK13ozUgW8Ut7Pm2ixPnDBj4whMpSFz,0.8
SQMPPmT2PpFktePspAjEP5Yhc3NF3pGxNS,0.8
SQQZr9AaioPTs8LR3YtGWJeAqLa2QbPWU2,0.8
SSDpDAP2eiKMHVYVigruFYWyspABcWHiJP,0.8
ST2Jd3aJqsNX3ooM7H5g5NVy5atTZ8wFfj,0.8
ST48Mrz4bGidLrkjhLnPz8j1LXqFv5Nxy2,0.8
SVS35UQKPGBzHaNm3WQCg9gMzRGHEuGRRk,0.8
SVuxJp6hWahizkoeetfFDHa9Hy72yGgpub,0.8
Sbkjfx2Zr2ivfL9ZhRLKwqzgYFg7eUBdDe,0.79927
SeNWuaV3h8cHANt9KixgKdrGKjWz9aYnKE,0.79054
ShZ1DEPZVMjwS1oau1ndpBhAdswYxjRRMB,0.78466167
SiPjeQkMzfL61uFqhxDnJDtsfUwcy9EcJi,0.78392835
SSuBxwYpfQCu3RazqsQrdrMKbEqZcgAEKk,0.78
Sja9a4Na8Eo8PBUZhsjdsSpwye8Pxa7YoJ,0.77721833
SgM1S6zhAnrsXC2eUnEbv6ZFKDLgE9ewro,0.77703667
SZUR2V98LRFLRBqtaBL6yeajk7nSGHnKSv,0.772
SZAjrqrZwab6LEWfdyxZLVagfUXpY9XsBt,0.76766076
SdBRfu3KS3rjWvXoZpLURjKDpqBW3CFUJa,0.76605
SSfSedkV3XDVPZDdicu4e7qkLUDFJhsXfv,0.76572666
